Fecha,Año,Mes,Nombre_Mes,Trimestre,Dia_Semana,Nombre_Dia,Semana_Año,Es_Fin_Semana
2023-12-11,2023,12,December,Q4,1,Monday,50,0
2023-12-12,2023,12,December,Q4,2,Tuesday,50,0
2023-12-13,2023,12,December,Q4,3,Wednesday,50,0
2023-12-14,2023,12,December,Q4,4,Thursday,50,0
2023-12-15,2023,12,December,Q4,5,Friday,50,0
2023-12-16,2023,12,December,Q4,6,Saturday,50,1
2023-12-17,2023,12,December,Q4,7,Sunday,50,1
2023-12-18,2023,12,December,Q4,1,Monday,51,0
2023-12-19,2023,12,December,Q4,2,Tuesday,51,0
2023-12-20,2023,12,December,Q4,3,Wednesday,51,0
2023-12-21,2023,12,December,Q4,4,Thursday,51,0
2023-12-22,2023,12,December,Q4,5,Friday,51,0
2023-12-23,2023,12,December,Q4,6,Saturday,51,1
2023-12-24,2023,12,December,Q4,7,Sunday,51,1
2023-12-25,2023,12,December,Q4,1,Monday,52,0
2023-12-26,2023,12,December,Q4,2,Tuesday,52,0
2023-12-27,2023,12,December,Q4,3,Wednesday,52,0
2023-12-28,2023,12,December,Q4,4,Thursday,52,0
2023-12-29,2023,12,December,Q4,5,Friday,52,0
2023-12-30,2023,12,December,Q4,6,Saturday,52,1
2023-12-31,2023,12,December,Q4,7,Sunday,52,1
